desired_x,desired_y,desired_z
0.383807,0.190728,0
0.393807,0.195634,0
0.403807,0.200535,0
0.413807,0.20543,0
0.423807,0.210321,0
0.433807,0.215207,0
0.443807,0.220087,0
0.368358,0.18314,0
0.378358,0.188053,0
0.388358,0.192961,0
0.398358,0.197865,0
0.408358,0.202763,0
0.418358,0.207657,0
0.428358,0.212545,0
0.438358,0.217428,0
0.448358,0.222306,0
0.458358,0.227178,0
0.383172,0.190416,0
0.393172,0.195322,0
0.403172,0.200223,0
0.413172,0.20512,0
0.423172,0.210011,0
0.433172,0.214896,0
0.443172,0.219777,0
0.453172,0.224652,0
0.463172,0.229521,0
0.473172,0.234385,0
0.39776,0.197572,0
0.40776,0.20247,0
0.41776,0.207364,0
0.42776,0.212253,0
0.43776,0.217136,0
0.44776,0.222014,0
0.45776,0.226887,0
0.46776,0.231754,0
0.47776,0.236615,0
0.48776,0.24147,0
0.412577,0.204828,0
0.422577,0.20972,0
0.432577,0.214606,0
0.442577,0.219487,0
0.452577,0.224362,0
0.462577,0.229232,0
0.472577,0.234096,0
0.482577,0.238954,0
0.492577,0.243806,0
0.502577,0.248652,0
0.42773,0.212238,0
0.43773,0.217122,0
0.44773,0.222,0
0.45773,0.226872,0
0.46773,0.231739,0
0.47773,0.2366,0
0.48773,0.241455,0
0.49773,0.246304,0
0.50773,0.251147,0
0.51773,0.255983,0
0.443072,0.219728,0
0.453072,0.224603,0
0.463072,0.229473,0
0.473072,0.234337,0
0.483072,0.239194,0
0.493072,0.244046,0
0.503072,0.248892,0
0.513072,0.253731,0
0.523072,0.258565,0
0.533072,0.263391,0
0.457791,0.226902,0
0.467791,0.231769,0
0.477791,0.23663,0
0.487791,0.241485,0
0.497791,0.246334,0
0.507791,0.251177,0
0.517791,0.256013,0
0.527791,0.260843,0
0.537791,0.265667,0
0.547791,0.270484,0
0.472798,0.234203,0
0.482798,0.239061,0
0.492798,0.243913,0
0.502798,0.248759,0
0.512798,0.253599,0
0.522798,0.258432,0
0.532798,0.263259,0
0.542798,0.26808,0
0.552798,0.272893,0
0.562798,0.2777,0
0.487427,0.241308,0
0.497427,0.246157,0
0.507427,0.251,0
0.517427,0.255837,0
0.527427,0.260668,0
0.537427,0.265491,0
0.547427,0.270309,0
0.557427,0.275119,0
0.567427,0.279923,0
0.577427,0.284719,0
0.50177,0.248261,0
0.51177,0.253102,0
0.52177,0.257936,0
0.53177,0.262763,0
0.54177,0.267584,0
0.55177,0.272399,0
0.56177,0.277206,0
0.57177,0.282007,0
0.58177,0.2868,0
0.59177,0.291587,0
0.516038,0.255166,0
0.526038,0.259997,0
0.536038,0.264822,0
0.546038,0.26964,0
0.556038,0.274451,0
0.566038,0.279256,0
0.576038,0.284053,0
0.586038,0.288844,0
0.596038,0.293627,0
0.606038,0.298403,0
0.53042,0.262112,0
0.54042,0.266934,0
0.55042,0.271749,0
0.56042,0.276558,0
0.57042,0.281359,0
0.58042,0.286153,0
0.59042,0.290941,0
0.60042,0.295721,0
0.61042,0.300494,0
0.62042,0.305259,0
0.545,0.26914,0
0.555,0.273952,0
0.565,0.278757,0
0.575,0.283556,0
0.585,0.288347,0
0.595,0.293131,0
0.605,0.297908,0
0.615,0.302677,0
0.625,0.307438,0
0.635,0.312192,0
0.559876,0.276296,0
0.569876,0.281098,0
0.579876,0.285893,0
0.589876,0.29068,0
0.599876,0.295461,0
0.609876,0.300234,0
0.619876,0.304999,0
0.629876,0.309757,0
0.639876,0.314508,0
0.649876,0.31925,0
0.57488,0.283498,0
0.58488,0.288289,0
0.59488,0.293073,0
0.60488,0.29785,0
0.61488,0.30262,0
0.62488,0.307381,0
0.63488,0.312135,0
0.64488,0.316882,0
0.65488,0.32162,0
0.66488,0.32635,0
0.589836,0.290661,0
0.599836,0.295442,0
0.609836,0.300215,0
0.619836,0.30498,0
0.629836,0.309738,0
0.639836,0.314489,0
0.649836,0.319231,0
0.659836,0.323965,0
0.669836,0.328692,0
0.679836,0.33341,0
0.599823,0.295435,0
0.609823,0.300209,0
0.619823,0.304974,0
0.629823,0.309732,0
0.639823,0.314482,0
0.649823,0.319225,0
0.659823,0.323959,0
0.669823,0.328685,0
0.679823,0.333403,0
0.689823,0.338113,0
0.614802,0.302582,0
0.624802,0.307344,0
0.634802,0.312098,0
0.644802,0.316845,0
0.654802,0.321583,0
0.664802,0.326313,0
0.674802,0.331036,0
0.684802,0.33575,0
0.694802,0.340455,0
0.704802,0.345152,0
0.629749,0.309697,0
0.639749,0.314448,0
0.649749,0.31919,0
0.659749,0.323925,0
0.669749,0.328651,0
0.679749,0.333369,0
0.689749,0.338079,0
0.699749,0.34278,0
0.709749,0.347473,0
0.719749,0.352157,0
0.644681,0.316787,0
0.654681,0.321526,0
0.664681,0.326256,0
0.674681,0.330979,0
0.684681,0.335693,0
0.694681,0.340398,0
0.704681,0.345095,0
0.714681,0.349784,0
0.724681,0.354464,0
0.734681,0.359135,0
0.659557,0.323833,0
0.669557,0.32856,0
0.679557,0.333278,0
0.689557,0.337988,0
0.699557,0.34269,0
0.709557,0.347382,0
0.719557,0.352067,0
0.729557,0.356742,0
0.739557,0.361409,0
0.749557,0.366066,0
0.674377,0.330835,0
0.684377,0.335549,0
0.694377,0.340255,0
0.704377,0.344953,0
0.714377,0.349642,0
0.724377,0.354322,0
0.734377,0.358993,0
0.744377,0.363655,0
0.754377,0.368308,0
0.764377,0.372952,0
0.689161,0.337802,0
0.699161,0.342504,0
0.709161,0.347197,0
0.719161,0.351882,0
0.729161,0.356557,0
