vehicle_x,vehicle_y,vehicle_z
7.56833,2.00114,0.00852869
7.59383,2.00174,0.0085303
7.61083,2.00208,0.00852683
7.63633,2.00253,0.00852971
7.66184,2.0029,0.00853388
7.68734,2.00319,0.00852955
7.71284,2.00342,0.008529
7.73835,2.00359,0.00852891
7.76385,2.00371,0.0085347
7.78935,2.00378,0.00852667
7.81486,2.00381,0.00853469
7.84036,2.00381,0.00852869
7.86586,2.00377,0.00852746
7.89136,2.00371,0.00852771
7.91686,2.00362,0.00853309
7.94236,2.00353,0.00852763
7.96786,2.00342,0.00852879
7.98486,2.00334,0.00852881
8.01037,2.00321,0.00853453
8.03588,2.00297,0.00852869
8.06138,2.00264,0.00852667
8.08688,2.00221,0.00852907
8.11238,2.0017,0.00853308
8.13788,2.0011,0.00853127
8.16338,2.00043,0.00853229
8.18887,1.99969,0.00852729
8.21437,1.99889,0.00853038
8.23986,1.99803,0.0085347
8.26534,1.99712,0.00853377
8.29083,1.99617,0.00852777
8.31631,1.99517,0.0085287
8.34179,1.99414,0.00853453
8.36727,1.99309,0.00852601
8.38426,1.99237,0.0085334
8.40974,1.99128,0.00853389
8.43521,1.99017,0.00852955
8.46069,1.98905,0.00852665
8.48617,1.98792,0.00852754
8.51164,1.98678,0.00852956
8.53712,1.98553,0.00853388
8.56259,1.98419,0.00852954
8.58806,1.98276,0.00853377
8.61352,1.98124,0.00852597
8.63898,1.97964,0.00853053
8.66443,1.97797,0.00853229
8.68987,1.97622,0.00852728
8.71531,1.97442,0.00852769
8.74075,1.97256,0.0085287
8.76618,1.97065,0.00853453
8.78313,1.96935,0.00853225
8.80856,1.96737,0.00852882
8.83398,1.96535,0.00853453
8.8594,1.9633,0.00852879
8.88482,1.96123,0.0085302
8.91023,1.95914,0.00853173
8.93565,1.95703,0.00853205
8.96106,1.95491,0.00853054
8.98647,1.95278,0.00853229
9.01188,1.95064,0.00853015
9.03729,1.9484,0.00852584
9.06269,1.94606,0.00852955
9.08808,1.94363,0.00853387
9.11347,1.94112,0.00852773
9.13884,1.93854,0.00853473
9.16421,1.93587,0.0085289
